trial,prefix,available,n_frames,total_distance_m,total_sim_time_s,avg_speed_kmh,max_speed_kmh,speed_std_kmh,risk_auc,risk_per_meter,mean_risk,max_risk
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,base,True,137,270.3835839057838,34.25,20.39596594887818,27.73162406312773,9.90754476680297,131.99452468767248,4.272482031744833,3.8825715695548904,13.549149060101461
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,e2e,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,composed,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,half_slow,True,199,271.72072228406,49.75,19.707766586749134,26.056789332201593,9.254068993540507,182.57323277132303,4.013519438139738,3.6883777670330713,12.885112663345504
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,slow,True,238,271.55250309036154,59.5,16.439529748449406,22.241626734875464,5.815444607465954,217.52594648655864,3.8049044455236696,3.6661178395924616,9.877646606653272
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,very_slow,True,320,271.5447633972312,80.0,12.225585407772027,13.807938578312587,2.919908991270695,227.17455591925093,2.829738491443002,2.8472739402059064,10.221906538570419
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,riskfn1,True,203,271.7045400742313,50.75,19.33317002294123,27.952963326706268,9.366087841079683,185.24958612828905,3.8459339784581106,3.666250354456362,11.519377529106883
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,riskfn2,True,194,272.07658366940746,48.5,20.27232713016807,27.732039451280237,9.799278579127822,185.5862497858044,4.198761238431039,3.8500593476707117,13.01968264029361
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,riskfn3,True,214,271.6492767006647,53.5,18.319488147750466,27.744939138543153,7.986878000387698,188.81713004508424,3.5146803630965087,3.541445862857559,8.151570823586923
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,riskfn4,True,207,271.9556494052339,51.75,18.977573332871195,27.681748957365823,9.738117214925373,185.0315999783473,3.6962773760734304,3.5926124244617443,8.280259628412571
auto_21C_WetNoon_Town10HD_HighVol_NoFog_Night,riskfn5,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
